#
#  synelcyc 23.0 Reactions link table generated on Tue Apr 16, 2019
#
SUCCGLUALDDEHYD-RXN	EC-1.2.1.71
RXN0-5265	
RXN-9634	EC-2.3.1.86	EC-4.2.1.59
4.2.1.61-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-9537	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-9655	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
4.2.1.59-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
4.2.1.58-RXN	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-9520	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN0-2144	EC-4.2.1.59
PORPHOBILSYNTH-RXN	EC-4.2.1.24
R145-RXN	EC-4.2.1.109
ENOYL-COA-HYDRAT-RXN	EC-4.2.1.17
PEROXID-RXN	EC-1.11.1.7
RXN0-5224	EC-4.2.1.1
RXN0-267	EC-1.11.1.16
RXN0-5398	EC-4.2.1.70
RXN-8667	EC-1.11.1.21	EC-1.11.1.16
RXN-11477	EC-4.2.1.59
RXN-11481	EC-4.2.1.59
RXN1G-363	EC-4.2.1.59
RXN1G-517	EC-4.2.1.59
RXN1G-320	EC-4.2.1.59
UNSPECIFIC-MONOOXYGENASE-RXN	EC-1.14.14.1
CYTOCHROME-C-OXIDASE-RXN	EC-1.9.3.1
RXN-7710	EC-2.4.1.18
RXN-14371	EC-2.4.1.18
RXN-14372	EC-2.4.1.18
ATPSYN-RXN	EC-3.6.3.14
PSII-RXN	EC-1.10.3.9
RXN-15830	EC-1.9.3.1
1.7.2.2-RXN	EC-1.7.2.2
RXN0-6954	
RXN-9533	EC-2.3.1.86	EC-2.3.1.85	EC-4.2.1.59
RXN-2881	
RXN-8173	
NACGLCTRANS-RXN	EC-2.4.1.227
FPPSYN-RXN	EC-2.5.1.10
GPPSYN-RXN	EC-2.5.1.1
RXN0-5180	EC-2.5.1
RXN-8976	EC-2.4.1.227
RXN-8999	EC-2.5.1.31
RXN-11291	EC-2.4.1.129
2.4.1.129-RXN	EC-2.4.1.129
RXN-14712	EC-2.4.1.129
RXN-11350	EC-2.4.1.129
RXN-11348	EC-2.4.1.129
RXN-15521	EC-2.4.1.129
RXN-16650	EC-2.4.1.129
UNDECAPRENYL-DIPHOSPHATASE-RXN	EC-3.6.1.27
2.5.1.32-RXN	
FARNESYLTRANSTRANSFERASE-RXN	EC-2.5.1.29
TRANS-HEXAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.30
TRANS-OCTAPRENYLTRANSTRANSFERASE-RXN	EC-2.5.1.84
RXNARA-8002	
RXN-13323	EC-2.5.1.32
RXN-8023	
RXN-12243	
ATP-ADENYLYLTRANSFERASE-RXN	EC-2.7.7.53
RXN-10646	EC-1.14.13
RXN-11357	
RXN-8042	EC-5.2.1.13
RXN-8038	EC-5.5.1
RXN-8039	EC-1.14.99
RXN1F-147	EC-5.5.1.18
RXN-11355	EC-1.3.5.5
RXN-12244	
RXN-11356	
RXN-11354	EC-5.2.1.12
RXN1F-151	EC-5.5.1.19
RXN1F-150	EC-5.5.1.19
RXN-12575	EC-3.1.1.1
NADPYROPHOSPHAT-RXN	EC-3.6.1.22
DNA-LIGASE-NAD+-RXN	EC-6.5.1.6	EC-6.5.1.2
2.7.7.1-RXN	EC-2.7.7.1
NAD-SYNTH-NH3-RXN	EC-6.3.1.5
NAD-KIN-RXN	EC-2.7.1.23
NADH-DEHYDROGENASE-RXN	EC-1.6.99.3
RXN-8026	
RXN-8025	
RXN1F-152	EC-1.14.13.129
1.6.99.5-RXN	EC-1.6.5.11
RXN-12753	
RXN-12754	
RXN0-5248	
3-ISOPROPYLMALDEHYDROG-RXN	
RXN0-1132	EC-1.8.1.4
RXN-8629	EC-1.8.1.4
ERYTH4PDEHYDROG-RXN	EC-1.2.1.72
HYDROGEN-DEHYDROGENASE-RXN	EC-1.12.1.2
RXN-3341	EC-1.1.1.343
RXN-9663	EC-1.3.1.9
RXN-9662	EC-1.3.1.9
RXN-9661	EC-1.3.1.9
RXN-9660	EC-1.3.1.9
RXN-9659	EC-1.3.1.9
RXN-9658	EC-1.3.1.9
ENOYL-ACP-REDUCT-NADH-RXN	EC-1.3.1.9
R222-RXN	EC-1.2.1.3
IMP-DEHYDROG-RXN	EC-1.1.1.205
UGD-RXN	EC-1.1.1.22
ERYTHRON4PDEHYDROG-RXN	EC-1.1.1.290
RXN66-3	EC-1.2.1.3
HISTOLDEHYD-RXN	
OHACYL-COA-DEHYDROG-RXN	EC-1.1.1.35
