SYNPCC7942_2569-MONOMER	SYNPCC7942_2569	Q31K20	orotidine 5'-phosphate decarboxylase	PyrF
SYNPCC7942_1081-MONOMER	SYNPCC7942_1081	Q31PA8	conserved hypothetical protein	
SYNPCC7942_1080-MONOMER	SYNPCC7942_1080	Q31PA9	K+ transporter Trk	
SYNPCC7942_1079-MONOMER	SYNPCC7942_1079	Q31PB0	ATP-dependent DNA helicase RecG	RecG
SYNPCC7942_1078-MONOMER	SYNPCC7942_1078	Q31PB1	conserved hypothetical protein	
SYNPCC7942_1077-MONOMER	SYNPCC7942_1077	Q31PB2	conserved hypothetical protein	
SYNPCC7942_1076-MONOMER	SYNPCC7942_1076	Q31PB3	osmotic signal transduction related protein	
SYNPCC7942_1075-MONOMER	SYNPCC7942_1075	Q31PB4	conserved hypothetical protein	
SYNPCC7942_1074-MONOMER	SYNPCC7942_1074	Q31PB5	conserved hypothetical protein	
SYNPCC7942_1073-MONOMER	SYNPCC7942_1073	Q31PB6	ribonuclease PH	Rph
SYNPCC7942_1072-MONOMER	SYNPCC7942_1072	Q31PB7	cob(I)alamin adenosyltransferase	CobO
SYNPCC7942_1071-MONOMER	SYNPCC7942_1071	Q31PB8	conserved hypothetical protein	
SYNPCC7942_1070-MONOMER	SYNPCC7942_1070	Q31PB9	oxidoreductase aldo/keto reductase	
SYNPCC7942_1069-MONOMER	SYNPCC7942_1069	Q31PC0	conserved hypothetical protein	
SYNPCC7942_1068-MONOMER	SYNPCC7942_1068	Q31PC1	pyruvate dehydrogenase complex E2 component monomer	PdhC
SYNPCC7942_1067-MONOMER	SYNPCC7942_1067	Q31PC2	conserved hypothetical protein	
SYNPCC7942_1066-MONOMER	SYNPCC7942_1066	Q31PC3	hypothetical protein	
SYNPCC7942_1065-MONOMER	SYNPCC7942_1065	Q31PC4	DNA/RNA helicase, DEAD/DEAH box type	
SYNPCC7942_1064-MONOMER	SYNPCC7942_1064	Q31PC5	type I restriction-modification, S subunit	HsdS
SYNPCC7942_1063-MONOMER	SYNPCC7942_1063	Q31PC6	conserved hypothetical protein	
SYNPCC7942_1062-MONOMER	SYNPCC7942_1062	Q31PC7	conserved hypothetical protein	
SYNPCC7942_1061-MONOMER	SYNPCC7942_1061	Q31PC8	conserved hypothetical protein	
SYNPCC7942_1060-MONOMER	SYNPCC7942_1060	Q31PC9	type I restriction-modification, M subunit	HsdM
SYNPCC7942_1059-MONOMER	SYNPCC7942_1059	Q31PD0	conserved hypothetical protein	
SYNPCC7942_1057-MONOMER	SYNPCC7942_1057	Q31PD2	thiamine-phosphate pyrophosphorylase	ThiE
SYNPCC7942_1056-MONOMER	SYNPCC7942_1056	Q31PD3	transcriptional regulator, XRE family	
SYNPCC7942_1055-MONOMER	SYNPCC7942_1055	Q44116	phycocyanin &alpha;-subunit phycocyanobilin lyase subunit &beta;	CpcF
SYNPCC7942_1054-MONOMER	SYNPCC7942_1054	Q44115	phycocyanin &alpha;-subunit phycocyanobilin lyase subunit &alpha;	CpcE
SYNPCC7942_1051-MONOMER	SYNPCC7942_1051	Q31PD8	CpcD	phycocyanin linker protein 9K
SYNPCC7942_1050-MONOMER	SYNPCC7942_1050	Q31PD9	phycobilisome rod linker polypeptide	
SYNPCC7942_1049-MONOMER	SYNPCC7942_1049	Q31PE0	phycobilisome rod linker polypeptide	
SYNPCC7942_1047-MONOMER	SYNPCC7942_1052	P06539	phycocyanin, beta subunit	
SYNPCC7942_1046-MONOMER	SYNPCC7942_1046	Q31PE3	conserved hypothetical protein	
SYNPCC7942_1045-MONOMER	SYNPCC7942_1045	Q31PE4	amidase enhancer-like	LytB
SYNPCC7942_1044-MONOMER	SYNPCC7942_1044	Q31PE5	flavin-dependent thymidylate synthase	ThyX
SYNPCC7942_1043-MONOMER	SYNPCC7942_1043	Q31PE6	conserved hypothetical protein	
SYNPCC7942_1042-MONOMER	SYNPCC7942_1042	Q31PE7	conserved hypothetical protein	
SYNPCC7942_1041-MONOMER	SYNPCC7942_1041	Q31PE8	hypothetical protein	
SYNPCC7942_1040-MONOMER	SYNPCC7942_1040	Q31PE9	conserved hypothetical protein	
SYNPCC7942_1058-MONOMER	SYNPCC7942_1058	Q31PD1	thiamine biosynthesis protein ThiS	ThiS
SYNPCC7942_1039-MONOMER	SYNPCC7942_1039	Q31PF0	conserved hypothetical protein	
SYNPCC7942_1038-MONOMER	SYNPCC7942_1038	Q31PF1	photosystem II oxygen-evolving complex 23K protein	PsbP
SYNPCC7942_1037-MONOMER	SYNPCC7942_1037	Q31PF2	arginine decarboxylase	SpeA
SYNPCC7942_1036-MONOMER	SYNPCC7942_1036	Q31PF3	conserved hypothetical protein	
SYNPCC7942_1035-MONOMER	SYNPCC7942_1035	Q31PF4	putative proteasome-type protease	
SYNPCC7942_1034-MONOMER	SYNPCC7942_1034	Q31PF5	Transglutaminase-like	
SYNPCC7942_1033-MONOMER	SYNPCC7942_1033	Q31PF6	conserved hypothetical protein	
SYNPCC7942_1032-MONOMER	SYNPCC7942_1032	Q31PF7	conserved hypothetical protein	
SYNPCC7942_1031-MONOMER	SYNPCC7942_1031	Q31PF8	hypothetical protein	
SYNPCC7942_1030-MONOMER	SYNPCC7942_1030	Q31PF9	histidinol-phosphate amidotransferase	HisC
SYNPCC7942_1029-MONOMER	SYNPCC7942_1029	Q31PG0	branched-chain amino acid aminotransferase	IlvE
SYNPCC7942_1028-MONOMER	SYNPCC7942_1028	Q31PG1	conserved hypothetical protein	
SYNPCC7942_1027-MONOMER	SYNPCC7942_1027	Q31PG2	conserved hypothetical protein	
SYNPCC7942_1026-MONOMER	SYNPCC7942_1026	Q31PG3	fibronectin binding protein-like	
SYNPCC7942_1025-MONOMER	SYNPCC7942_1025	Q31PG4	TPR repeat	
SYNPCC7942_1024-MONOMER	SYNPCC7942_1024	Q31PG5	conserved hypothetical protein	
SYNPCC7942_1023-MONOMER	SYNPCC7942_1023	Q31PG6	conserved hypothetical protein	
SYNPCC7942_1022-MONOMER	SYNPCC7942_1022	Q31PG7	conserved hypothetical protein	
SYNPCC7942_1021-MONOMER	SYNPCC7942_1021	Q31PG8	O-succinylbenzoic acid-CoA ligase	MenE
SYNPCC7942_1020-MONOMER	SYNPCC7942_1020	Q31PG9	O-succinylbenzoate-CoA synthase-like	MenC
SYNPCC7942_1019-MONOMER	SYNPCC7942_1019	Q31PH0	4-alpha-glucanotransferase	MalQ
SYNPCC7942_1018-MONOMER	SYNPCC7942_1018	Q31PH1	conserved hypothetical protein	
SYNPCC7942_1017-MONOMER	SYNPCC7942_1017	Q31PH2	Protein of unknown function DUF28	
SYNPCC7942_1016-MONOMER	SYNPCC7942_1016	Q31PH3	CheW protein	CheW
SYNPCC7942_1015-MONOMER	SYNPCC7942_1015	Q31PH4	methyl-accepting chemotaxis sensory transducer	McpA
SYNPCC7942_1014-MONOMER	SYNPCC7942_1014	Q31PH5	CheA signal transduction histidine kinases	CheA
SYNPCC7942_1013-MONOMER	SYNPCC7942_1013	Q31PH6	hypothetical protein	
SYNPCC7942_1012-MONOMER	SYNPCC7942_1012	P39663	SphR response-regulator	SphR
SYNPCC7942_1011-MONOMER	SYNPCC7942_1011	P39664	SphS histidine kinase monomer	SphS
SYNPCC7942_1010-MONOMER	SYNPCC7942_1010	Q31PH9	Pseudouridine synthase, Rsu	
SYNPCC7942_1009-MONOMER	SYNPCC7942_1009	Q31PI0	transcriptional regulator, XRE family	
SYNPCC7942_1008-MONOMER	SYNPCC7942_1008	Q31PI1	formyltetrahydrofolate deformylase	PurU
SYNPCC7942_1007-MONOMER	SYNPCC7942_1007	Q31PI2	fumarate hydratase, class II	FumC
SYNPCC7942_1006-MONOMER	SYNPCC7942_1006	Q31PI3	TPR repeat	
SYNPCC7942_1005-MONOMER	SYNPCC7942_1005	Q31PI4	HAD-superfamily hydrolase subfamily IA, variant 3	
SYNPCC7942_1004-MONOMER	SYNPCC7942_1004	Q31PI5	conserved hypothetical protein	
SYNPCC7942_1003-MONOMER	SYNPCC7942_1003	Q31PI6	anthranilate synthase component I	TrpE
SYNPCC7942_1002-MONOMER	SYNPCC7942_1002	Q31PI7	PsaD	photosystem I reaction center subunit II
SYNPCC7942_1001-MONOMER	SYNPCC7942_1001	Q31PI8	aspartate kinase	Ask
SYNPCC7942_1000-MONOMER	SYNPCC7942_1000	Q31PI9	conserved hypothetical protein	
SYNPCC7942_0999-MONOMER	SYNPCC7942_0999	Q31PJ0	hypothetical protein	
SYNPCC7942_0998-MONOMER	SYNPCC7942_0998	Q31PJ1	ATP-dependent metalloprotease FtsH	
SYNPCC7942_0997-MONOMER	SYNPCC7942_0997	Q31PJ2	50S ribosomal subunit protein L32	RpmF
SYNPCC7942_0996-MONOMER	SYNPCC7942_0996	Q31PJ3	conserved hypothetical protein	
SYNPCC7942_0995-MONOMER	SYNPCC7942_0995	Q31PJ4	conserved hypothetical protein YCF20	
SYNPCC7942_0994-MONOMER	SYNPCC7942_0994	Q31PJ5	conserved hypothetical protein	
SYNPCC7942_0993-MONOMER	SYNPCC7942_0993	Q31PJ6	conserved hypothetical protein	
SYNPCC7942_0992-MONOMER	SYNPCC7942_0992	Q31PJ7	conserved hypothetical protein	
SYNPCC7942_0991-MONOMER	SYNPCC7942_0991	Q31PJ8	cytoplasmic membrane protein	
SYNPCC7942_0990-MONOMER	SYNPCC7942_0990	Q31PJ9	bifunctional cobalamin biosynthesis protein CobP	CobP
SYNPCC7942_0989-MONOMER	SYNPCC7942_0989	Q31PK0	conserved hypothetical protein	
SYNPCC7942_0988-MONOMER	SYNPCC7942_0988	Q31PK1	conserved hypothetical protein YCF54	
SYNPCC7942_0987-MONOMER	SYNPCC7942_0987	Q55244	Fur	
SYNPCC7942_0986-MONOMER	SYNPCC7942_0986	Q31PK3	probable glycosyltransferase	
SYNPCC7942_0985-MONOMER	SYNPCC7942_0985	Q31PK4	conserved hypothetical protein	
SYNPCC7942_0984-MONOMER	SYNPCC7942_0984	Q31PK5	DNA repair protein RecO	RecO
SYNPCC7942_0983-MONOMER	SYNPCC7942_0983	Q31PK6	deoxyribose-phosphate aldolase	DeoC
SYNPCC7942_0982-MONOMER	SYNPCC7942_0982	Q31PK7	conserved hypothetical protein	
SYNPCC7942_0981-MONOMER	SYNPCC7942_0981	Q31PK8	conserved hypothetical protein	
SYNPCC7942_0980-MONOMER	SYNPCC7942_0980	Q31PK9	conserved hypothetical protein	
SYNPCC7942_0979-MONOMER	SYNPCC7942_0979	Q31PL0	conserved hypothetical protein	
SYNPCC7942_0978-MONOMER	SYNPCC7942_0978	Q31PL1	ferredoxin-NADP oxidoreductase	PetH
SYNPCC7942_0977-MONOMER	SYNPCC7942_0977	Q31PL2		Prk
SYNPCC7942_0976-MONOMER	SYNPCC7942_0976	Q31PL3	CBS-domain protein	
SYNPCC7942_0975-MONOMER	SYNPCC7942_0975	Q31PL4	methyltransferase	
SYNPCC7942_0974-MONOMER	SYNPCC7942_0974	Q31PL5	UDP-glucose dehydrogenase	Ugd
SYNPCC7942_0973-MONOMER	SYNPCC7942_0973	Q31PL6	UDP-glucose 6-dehydrogenase	Ugd
SYNPCC7942_0972-MONOMER	SYNPCC7942_0972	Q31PL7	YjgF-like protein	
SYNPCC7942_0971-MONOMER	SYNPCC7942_0971	Q31PL8	conserved hypothetical protein	
SYNPCC7942_0970-MONOMER	SYNPCC7942_0970	P26294	15-<i>cis</i> phytoene desaturase	Pds
SYNPCC7942_0969-MONOMER	SYNPCC7942_0969	Q31PM0	Carboxymethylenebutenolidase	
SYNPCC7942_0968-MONOMER	SYNPCC7942_0968	Q31PM1	hypothetical protein	
SYNPCC7942_0967-MONOMER	SYNPCC7942_0967	Q31PM2	porphobilinogen deaminase	HemC
SYNPCC7942_0966-MONOMER	SYNPCC7942_0966	Q31PM3	conserved hypothetical protein	
SYNPCC7942_0965-MONOMER	SYNPCC7942_0965	Q31PM4	ammonium transporter protein Amt1-like	
SYNPCC7942_0964-MONOMER	SYNPCC7942_0964	Q31PM5	conserved hypothetical protein	
SYNPCC7942_0963-MONOMER	SYNPCC7942_0963	Q31PM6	probable methyltransferase	
SYNPCC7942_0962-MONOMER	SYNPCC7942_0962	Q31PM7	sun protein	Sun
SYNPCC7942_0961-MONOMER	SYNPCC7942_0961	Q31PM8	cell envelope-related function transcriptional attenuator common domain	
SYNPCC7942_0960-MONOMER	SYNPCC7942_0960	Q31PM9	ATPase	
SYNPCC7942_0959-MONOMER	SYNPCC7942_0959	Q31PN0	GTP-binding protein	
SYNPCC7942_0958-MONOMER	SYNPCC7942_0958	Q31PN1	phosphoribosylglycinamide formyltransferase	
SYNPCC7942_0957-MONOMER	SYNPCC7942_0957	Q31PN2	cob(I)alamin adenosyltransferase	
SYNPCC7942_0956-MONOMER	SYNPCC7942_0956	Q31PN3	conserved hypothetical protein	
SYNPCC7942_0955-MONOMER	SYNPCC7942_0955	Q31PN4	conserved hypothetical protein	
SYNPCC7942_0954-MONOMER	SYNPCC7942_0954	Q31PN5	glycine cleavage T-protein-like	
SYNPCC7942_0953-MONOMER	SYNPCC7942_0953	Q31PN6	conserved hypothetical protein	
SYNPCC7942_0952-MONOMER	SYNPCC7942_0952	Q31PN7	conserved hypothetical protein	
SYNPCC7942_0951-MONOMER	SYNPCC7942_0951	Q31PN8	nicotinate-nucleotide pyrophosphorylase	NadC
SYNPCC7942_0950-MONOMER	SYNPCC7942_0950	Q31PN9	sugar ABC transporter, substrate-binding protein	
SYNPCC7942_0949-MONOMER	SYNPCC7942_0949	Q31PP0	sugar ABC transporter, permease subunit	
SYNPCC7942_0948-MONOMER	SYNPCC7942_0948	Q31PP1	sugar ABC transporter, permease subunit	
SYNPCC7942_0947-MONOMER	SYNPCC7942_0947	Q31PP2	sugar ABC transporter, ATPase subunit	
SYNPCC7942_0946-MONOMER	SYNPCC7942_0946	Q31PP3	L-amino acid oxidase	AoxA
SYNPCC7942_0945-MONOMER	SYNPCC7942_0945	Q31PP4	conserved hypothetical protein	
SYNPCC7942_0944-MONOMER	SYNPCC7942_0944	Q31PP5	FolC bifunctional protein	FolC
SYNPCC7942_0943-MONOMER	SYNPCC7942_0943	Q31PP6	acetylornithine aminotransferase	
SYNPCC7942_0942-MONOMER	SYNPCC7942_0942	Q31PP7	ATP-dependent metalloprotease FtsH	
SYNPCC7942_0941-MONOMER	SYNPCC7942_0941	Q31PP8	ATPase	
SYNPCC7942_0940-MONOMER	SYNPCC7942_0940	Q31PP9	transcriptional regulator, XRE family	
SYNPCC7942_0939-MONOMER	SYNPCC7942_0939	Q31PQ0	adenylylsulfate kinase	CysC
SYNPCC7942_0938-MONOMER	SYNPCC7942_0938	Q31PQ1	putative transcriptional regulator, ArsR family	
SYNPCC7942_0937-MONOMER	SYNPCC7942_0937	Q31PQ2	conserved hypothetical protein	
SYNPCC7942_0936-MONOMER	SYNPCC7942_0936	Q31PQ3	Rhodanese-like	
SYNPCC7942_0935-MONOMER	SYNPCC7942_0935	Q31PQ4	conserved hypothetical protein	
SYNPCC7942_0934-MONOMER	SYNPCC7942_0934	Q31PQ5	conserved hypothetical protein	
SYNPCC7942_0933-MONOMER	SYNPCC7942_0933	Q31PQ6	conserved hypothetical protein	NarM
SYNPCC7942_0932-MONOMER	SYNPCC7942_0932	Q31PQ7	lipid-A-disaccharide synthase	LpxB
SYNPCC7942_0931-MONOMER	SYNPCC7942_0931	Q31PQ8	acyl-(acyl-carrier-protein)--UDP-N- acetylglucosamine O-acyltransferase	
SYNPCC7942_0930-MONOMER	SYNPCC7942_0930	Q31PQ9	beta-hydroxyacyl-(acyl-carrier-protein) dehydratase FabZ	FabZ
SYNPCC7942_0929-MONOMER	SYNPCC7942_0929	Q31PR0	UDP-3-0-acyl N-acetylglucosamine deacetylase	LpxC
SYNPCC7942_0928-MONOMER	SYNPCC7942_0928	Q31PR1	outer envelope membrane protein	
SYNPCC7942_0927-MONOMER	SYNPCC7942_0927	Q31PR2	phosphoribosylaminoimidazole-succinocarboxamide synthase	PurC
SYNPCC7942_0926-MONOMER	SYNPCC7942_0926	Q31PR3	conserved hypothetical protein	
SYNPCC7942_0925-MONOMER	SYNPCC7942_0925	Q31PR4	phosphoribosylamine--glycine ligase	PurD
SYNPCC7942_0924-MONOMER	SYNPCC7942_0924	Q8RQ68	NblS histidine kinase	NblS
SYNPCC7942_0923-MONOMER	SYNPCC7942_0923	Q31PR6	Methylthioadenosine phosphorylase	MtaP
SYNPCC7942_0922-MONOMER	SYNPCC7942_0922	Q31PR7	Glutamate--tRNA ligase	
SYNPCC7942_0921-MONOMER	SYNPCC7942_0921	Q31PR8	conserved hypothetical protein	
SYNPCC7942_0920-MONOMER	SYNPCC7942_0920	Q31PR9	photosystem I reaction center	PsaK
SYNPCC7942_0919-MONOMER	SYNPCC7942_0919	Q31PS0	conserved hypothetical protein	
SYNPCC7942_0918-MONOMER	SYNPCC7942_0918	Q31PS1	long-chain-fatty-acid CoA ligase	FadD
SYNPCC7942_0917-MONOMER	SYNPCC7942_0917	Q31PS2	conserved hypothetical protein	
SYNPCC7942_0916-MONOMER	SYNPCC7942_0916	Q31PS3	conserved hypothetical protein	
SYNPCC7942_0915-MONOMER	SYNPCC7942_0915	Q31PS4	3-dehydroquinate dehydratase, type II	AroD
SYNPCC7942_0914-MONOMER	SYNPCC7942_0914	Q31PS5	tRNA-(MS(2)IO(6)A)-hydroxylase-like	
SYNPCC7942_0913-MONOMER	SYNPCC7942_0913	Q31PS6	N-acetyltransferase-like	
SYNPCC7942_0912-MONOMER	SYNPCC7942_0912	Q31PS7	DNA polymerase III, &tau; subunit	DnaX
SYNPCC7942_0911-MONOMER	SYNPCC7942_0911	Q31PS8	conserved hypothetical protein	
SYNPCC7942_0910-MONOMER	SYNPCC7942_0910	Q31PS9	conserved hypothetical protein	
SYNPCC7942_0909-MONOMER	SYNPCC7942_0909	Q31PT0	HesB/YadR/YfhF	
SYNPCC7942_0908-MONOMER	SYNPCC7942_0908	Q31PT1	conserved hypothetical protein	
SYNPCC7942_0907-MONOMER	SYNPCC7942_0907	Q31PT2	conserved hypothetical protein	
SYNPCC7942_0906-MONOMER	SYNPCC7942_0906	Q31PT3	hypothetical protein	
SYNPCC7942_0905-MONOMER	SYNPCC7942_0905	Q31PT4	hypothetical protein	
SYNPCC7942_0904-MONOMER	SYNPCC7942_0904	Q31PT5	conserved hypothetical protein	
SYNPCC7942_0903-MONOMER	SYNPCC7942_0903	Q31PT6	aconitate hydratase 2	AcnB
SYNPCC7942_0902-MONOMER	SYNPCC7942_0902	Q31PT7	conserved hypothetical protein	
SYNPCC7942_0901-MONOMER	SYNPCC7942_0901	Q31PT8	Haloalkane dehalogenase	
SYNPCC7942_0900-MONOMER	SYNPCC7942_0900	Q31PT9	conserved hypothetical protein	
SYNPCC7942_0899-MONOMER	SYNPCC7942_0899	Q31PU0	conserved hypothetical protein	
SYNPCC7942_0898-MONOMER	SYNPCC7942_0898	Q31PU1	ferredoxin like protein	
SYNPCC7942_0897-MONOMER	SYNPCC7942_0897	Q31PU2	cell division topological specificity factor MinE	MinE
SYNPCC7942_0896-MONOMER	SYNPCC7942_0896	Q31PU3	septum site-determining protein MinD	MinD
SYNPCC7942_0895-MONOMER	SYNPCC7942_0895	Q31PU4	conserved hypothetical protein	
SYNPCC7942_0894-MONOMER	SYNPCC7942_0894	Q31PU5	Shikimate kinase	AroK
SYNPCC7942_0893-MONOMER	SYNPCC7942_0893	P04997	photosystem II D1 protein	
SYNPCC7942_0892-MONOMER	SYNPCC7942_0892	Q31PU7	FO synthase subunit 1	CofG, 7,8-didemethyl-8-hydroxy-5-deazariboflavin synthase subunit 1
SYNPCC7942_0891-MONOMER	SYNPCC7942_0891	Q31PU8	conserved hypothetical protein	
SYNPCC7942_0890-MONOMER	SYNPCC7942_0890	Q31PU9	glutamate synthase (ferredoxin)	GltS, GlsF
SYNPCC7942_0889-MONOMER	SYNPCC7942_0889	Q31PV0	conserved hypothetical protein	
SYNPCC7942_0888-MONOMER	SYNPCC7942_0888	Q31PV1	mannose-1-phosphate guanylyltransferase-like	
SYNPCC7942_0887-MONOMER	SYNPCC7942_0887	P63200	30S ribosomal subunit protein S12	RpsL
SYNPCC7942_0886-MONOMER	SYNPCC7942_0886	Q31PV3	30S ribosomal subunit protein S7	RpsG
SYNPCC7942_0885-MONOMER	SYNPCC7942_0885	Q31PV4	translation elongation factor G Small GTP-binding protein domain	
SYNPCC7942_0884-MONOMER	SYNPCC7942_0884	P33171	translation elongation factor Tu	Tuf
SYNPCC7942_0883-MONOMER	SYNPCC7942_0883	Q31PV6	30S ribosomal subunit protein S10	RpsJ
SYNPCC7942_0882-MONOMER	SYNPCC7942_0882	Q31PV7	Peptidase S16, lon-like	
SYNPCC7942_0881-MONOMER	SYNPCC7942_0881	Q31PV8	Prephenate dehydratase	PheA
SYNPCC7942_0880-MONOMER	SYNPCC7942_0880	Q31PV9	conserved hypothetical protein	
SYNPCC7942_0879-MONOMER	SYNPCC7942_0879	Q31PW0	Ribonuclease HII	RnhB
SYNPCC7942_0878-MONOMER	SYNPCC7942_0878	Q31PW1	ribonuclease, Rne/Rng family	
SYNPCC7942_0877-MONOMER	SYNPCC7942_0877	Q31PW2	Elongator protein 3/MiaB/NifB	
SYNPCC7942_0876-MONOMER	SYNPCC7942_0876	Q31PW3	alanyl-tRNA synthetase	AlaS
SYNPCC7942_0875-MONOMER	SYNPCC7942_0875	Q31PW4	conserved hypothetical protein	
SYNPCC7942_0874-MONOMER	SYNPCC7942_0874	Q31PW5	DNA/RNA helicase, DEAD/DEAH box type	
SYNPCC7942_0873-MONOMER	SYNPCC7942_0873	Q31PW6	conserved hypothetical protein	
SYNPCC7942_0872-MONOMER	SYNPCC7942_0872	Q31PW7	conserved hypothetical protein	
SYNPCC7942_0871-MONOMER	SYNPCC7942_0871	Q31PW8	conserved hypothetical protein	
SYNPCC7942_0870-MONOMER	SYNPCC7942_0870	Q31PW9	conserved hypothetical protein	
SYNPCC7942_0869-MONOMER	SYNPCC7942_0869	Q31PX0	conserved hypothetical protein	
SYNPCC7942_0868-MONOMER	SYNPCC7942_0868	Q31PX1	conserved hypothetical protein	
SYNPCC7942_0867-MONOMER	SYNPCC7942_0867	Q31PX2	hypothetical protein	
SYNPCC7942_0866-MONOMER	SYNPCC7942_0866	Q31PX3	conserved hypothetical protein	
SYNPCC7942_0865-MONOMER	SYNPCC7942_0865	Q31PX4	conserved hypothetical protein	
SYNPCC7942_0864-MONOMER	SYNPCC7942_0864	Q31PX5	conserved hypothetical protein	
SYNPCC7942_0863-MONOMER	SYNPCC7942_0863	Q31PX6	conserved hypothetical protein	
SYNPCC7942_0862-MONOMER	SYNPCC7942_0862	Q31PX7	conserved hypothetical protein	
SYNPCC7942_0861-MONOMER	SYNPCC7942_0861	Q31PX8	conserved hypothetical protein	
SYNPCC7942_0860-MONOMER	SYNPCC7942_0860	Q31PX9	CheW protein	CheW
SYNPCC7942_0859-MONOMER	SYNPCC7942_0859	Q31PY0	CheA signal transduction histidine kinases	CheA
SYNPCC7942_0858-MONOMER	SYNPCC7942_0858	Q31PY1	methyl-accepting chemotaxis sensory transducer with phytochrome sensor	PixJ
SYNPCC7942_0857-MONOMER	SYNPCC7942_0857	Q31PY2	CheW protein	
SYNPCC7942_0856-MONOMER	SYNPCC7942_0856	Q31PY3	response regulator receiver domain protein (CheY-like)	
SYNPCC7942_0855-MONOMER	SYNPCC7942_0855	Q31PY4	response regulator receiver domain protein (CheY-like)	
SYNPCC7942_0854-MONOMER	SYNPCC7942_0854	Q31PY5	conserved hypothetical protein	
SYNPCC7942_0853-MONOMER	SYNPCC7942_0853	Q31PY6	probable aminotransferase	
SYNPCC7942_0851-MONOMER	SYNPCC7942_0851	Q31PY7	phosphoribosylformylglycinamidine cyclo-ligase	PurM
SYNPCC7942_0850-MONOMER	SYNPCC7942_0850	Q31PY8	conserved hypothetical protein	
SYNPCC7942_0849-MONOMER	SYNPCC7942_0849	Q31PY9	protoporphyrinogen oxidase	HemJ
SYNPCC7942_0848-MONOMER	SYNPCC7942_0848	Q31PZ0	excinuclease ABC, A subunit	UvrA
SYNPCC7942_0847-MONOMER	SYNPCC7942_0847	Q31PZ1	twitching motility protein	
SYNPCC7942_0846-MONOMER	SYNPCC7942_0846	Q31PZ2	conserved hypothetical protein	
SYNPCC7942_0845-MONOMER	SYNPCC7942_0845	Q31PZ3	conserved hypothetical protein	
SYNPCC7942_0844-MONOMER	SYNPCC7942_0844	Q31PZ4	Phosphoesterase PHP-like	
SYNPCC7942_0843-MONOMER	SYNPCC7942_0843	Q31PZ5	conserved hypothetical protein	
SYNPCC7942_0842-MONOMER	SYNPCC7942_0842	Q31PZ6	Glutathione reductase	Gor
SYNPCC7942_0841-MONOMER	SYNPCC7942_0841	Q31PZ7	putative flavoprotein involved in K+ transport	
SYNPCC7942_0840-MONOMER	SYNPCC7942_0840	Q31PZ8	conserved hypothetical protein	
SYNPCC7942_0839-MONOMER	SYNPCC7942_0839	Q31PZ9	Nitrilase	
SYNPCC7942_0838-MONOMER	SYNPCC7942_0838	Q31Q00	Elongator protein 3/MiaB/NifB	
SYNPCC7942_0837-MONOMER	SYNPCC7942_0837	Q31Q01	conserved hypothetical protein	
SYNPCC7942_0836-MONOMER	SYNPCC7942_0836	Q31Q02	conserved hypothetical protein	
SYNPCC7942_0835-MONOMER	SYNPCC7942_0835	Q31Q03	Holliday junction DNA helicase RuvB	RuvB
SYNPCC7942_0834-MONOMER	SYNPCC7942_0834	Q31Q04	conserved hypothetical protein	
SYNPCC7942_0833-MONOMER	SYNPCC7942_0833	Q31Q05	conserved hypothetical protein	
SYNPCC7942_0831-MONOMER	SYNPCC7942_0831	Q31Q06	conserved hypothetical protein	
SYNPCC7942_0830-MONOMER	SYNPCC7942_0830	Q31Q07	asparaginyl-tRNA synthetase	AsnS
SYNPCC7942_0829-MONOMER	SYNPCC7942_0829	Q31Q08	Lipoproteins-like	
SYNPCC7942_0828-MONOMER	SYNPCC7942_0828	Q31Q09	conserved hypothetical protein	
SYNPCC7942_0827-MONOMER	SYNPCC7942_0827	Q31Q10	cobalamin synthesis protein cobW-like	CobW
SYNPCC7942_0826-MONOMER	SYNPCC7942_0826	Q31Q11	conserved hypothetical protein	
SYNPCC7942_0825-MONOMER	SYNPCC7942_0825	Q31Q12	conserved hypothetical protein	
SYNPCC7942_0824-MONOMER	SYNPCC7942_0824	Q31Q13	conserved hypothetical protein	
SYNPCC7942_0823-MONOMER	SYNPCC7942_0823	Q31Q14	oligopeptide ABC type transporter,, membrane protein	DppC
SYNPCC7942_0822-MONOMER	SYNPCC7942_0822	Q31Q15	oligopeptide ABC type transporter, permease subunit	DppB
SYNPCC7942_0821-MONOMER	SYNPCC7942_0821	Q31Q16	oligopeptide ABC type transporter, periplasmic oligopeptide-binding subunit	DdpA
SYNPCC7942_0820-MONOMER	SYNPCC7942_0820	Q31Q17	conserved hypothetical protein	
SYNPCC7942_0819-MONOMER	SYNPCC7942_0819	Q31Q18	phosphoribosylformylglycinamidine synthase I	PurQ
SYNPCC7942_0818-MONOMER	SYNPCC7942_0818	Q31Q19	Phosphoribosylformylglycinamidine synthetase PurS	PurS
SYNPCC7942_0817-MONOMER	SYNPCC7942_0817	Q31Q20	putative ferric uptake regulator, FUR family	
SYNPCC7942_0816-MONOMER	SYNPCC7942_0816	Q31Q21	diguanylate cyclase/phosphodiesterase (GGDEF &amp; EAL domains)	
SYNPCC7942_0815-MONOMER	SYNPCC7942_0815	Q31Q22	ATPase	
SYNPCC7942_0814-MONOMER	SYNPCC7942_0814	Q31Q23	ferredoxin-like protein	
SYNPCC7942_0813-MONOMER	SYNPCC7942_0813	Q55267	histidyl-tRNA synthetase 2, putative	
